@RELATION accuracy

@ATTRIBUTE id STRING
@ATTRIBUTE overlap NUMERIC
@ATTRIBUTE F NUMERIC
@ATTRIBUTE lesk NUMERIC
@ATTRIBUTE cosine NUMERIC
@ATTRIBUTE questionOverlap NUMERIC
@ATTRIBUTE questionF NUMERIC
@ATTRIBUTE questionLesk NUMERIC
@ATTRIBUTE questionCosine NUMERIC
@ATTRIBUTE word_matching NUMERIC
@ATTRIBUTE neg_word_match NUMERIC
@ATTRIBUTE num_match NUMERIC
@ATTRIBUTE synonym_match NUMERIC
@ATTRIBUTE antonym_match NUMERIC
@ATTRIBUTE wup_similarity NUMERIC
@ATTRIBUTE q_neg_word_match NUMERIC
@ATTRIBUTE q_num_match NUMERIC
@ATTRIBUTE q_synonym_match NUMERIC
@ATTRIBUTE q_antonym_match NUMERIC
@ATTRIBUTE q_wup_similarity NUMERIC
@ATTRIBUTE accuracy {correct,partially_correct_incomplete,contradictory,irrelevant,non_domain}

@DATA
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj3-l1.qa193,7,0.666666666666667,0.1,0.667423812471915,5,0.357142857142857,0.0374331550802139,0.365636212063565,0.416666666667,0,0,0,0,0.551515151515,0,0,0,0,0.500178253119,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj7-l1.qa185,7,0.777777777777778,0.234567901234568,0.777777777777778,5,0.384615384615385,0.0849673202614379,0.404226041727222,0.416666666667,-1,0,0,0,0.444444444444,-1,0,0,0,0.444444444444,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa223,8,0.842105263157895,0.444444444444444,0.843274042711568,5,0.37037037037037,0.0529411764705882,0.383482494423685,0.5,0,0,0,0,0.5,0,0,0,0,0.423529411765,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa224,4,0.421052631578947,0.177777777777778,0.421637021355784,2,0.153846153846154,0.0261437908496732,0.161690416690889,0.25,-1,0,0,0,0.251851851852,-1,0,0,0,0.251851851852,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa225,8,0.727272727272727,0.153846153846154,0.739600261633639,5,0.333333333333333,0.0226244343891403,0.336336396998156,0.5,0,-1,0,-1,0.405128205128,0,-1,0,-1,0.356561085973,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa226,0,0,0,0,0,0,0,0,0.0,-1,0,0,0,0.25,-1,0,0,0,0.375,non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa227,1,0.153846153846154,0.0277777777777778,0.166666666666667,0,0,0,0,0.0,-1,0,0,0,0.18431372549,-1,0,0,0,0.217647058824,non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa228,6,0.666666666666667,0.180555555555556,0.670820393249937,5,0.4,0.0955882352941176,0.428746462856272,0.416666666667,0,0,0,0,0.5,0,0,0,0,0.5,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj9-l1.qa189,8,0.842105263157895,0.166666666666667,0.843274042711568,5,0.37037037037037,0.0529411764705882,0.383482494423685,0.5,-1,0,0,0,0.454545454545,-1,0,0,0,0.385026737968,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa207,7,0.777777777777778,0.333333333333333,0.777777777777778,5,0.384615384615385,0.111111111111111,0.404226041727222,0.5,0,-1,0,0,0.555555555556,0,-1,0,0,0.518518518519,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa208,7,0.736842105263158,0.233333333333333,0.737864787372622,4,0.296296296296296,0.0352941176470588,0.306785995538948,0.416666666667,0,-1,0,0,0.5,0,-1,0,0,0.423529411765,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa209,7,0.56,0.237179487179487,0.560448538317805,6,0.4,0.0542986425339367,0.403603676397787,0.583333333333,0,-1,0,0,0.54358974359,0,-1,0,0,0.484766214178,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa210,6,0.5,0.166666666666667,0.501745206004254,6,0.4,0.0542986425339367,0.403603676397787,0.5,0,-1,0,0,0.514003944773,0,-1,0,0,0.458730711219,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj11-l1.qa213,7,0.736842105263158,0.188888888888889,0.737864787372622,4,0.296296296296296,0.0352941176470588,0.306785995538948,0.5,-1,0,0,0,0.363636363636,-1,0,0,0,0.294117647059,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa220,8,0.64,0.141025641025641,0.640512615220349,6,0.4,0.0452488687782805,0.403603676397787,0.666666666667,-1,0,0,0,0.577686202686,-1,0,0,0,0.467035660418,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa221,8,0.64,0.141025641025641,0.640512615220349,6,0.4,0.0452488687782805,0.403603676397787,0.666666666667,-1,0,0,0,0.572924297924,-1,0,0,0,0.462273755656,contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa222,7,0.583333333333333,0.134615384615385,0.585369407004964,7,0.466666666666667,0.0497737556561086,0.470870955797419,0.583333333333,0,0,0,0,0.477289377289,0,0,0,0,0.425964231847,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj14-l1.qa209,7,0.583333333333333,0.134615384615385,0.585369407004964,7,0.466666666666667,0.0497737556561086,0.470870955797419,0.583333333333,0,0,0,0,0.540781440781,0,0,0,0,0.449773755656,correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa231,7,0.608695652173913,0.119047619047619,0.623609564462324,6,0.387096774193548,0.0588235294117647,0.388922234131299,0.5,-1,0,0,0,0.457388083439,-1,0,0,0,0.406716532767,correct
