FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj3-l1.qa193	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	positive battery terminal is separated by a gap from terminal 1	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj7-l1.qa185	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	terminal 1 is not connected to the positive terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa223	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	Because terminal 1 is connected to the positive battery terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa224	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because terminal 1 is not seperated by any gaps	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa225	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because terminal one is  connected to both the negative and positive battery terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa226	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	no	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa227	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	i do not understand	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj8-l1.qa228	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	Terminal 1 is seperated from the positive terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj9-l1.qa189	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	the positive battery terminal is not connected to terminal 1.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa207	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because terminal one and the positive terminal are connected	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa208	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because terminal one is connected to the positive battery terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa209	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because terminal one and the positive battery terminal are on a closed path	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj10-l1.qa210	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because there is a gap between terminal one and the positive battery terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj11-l1.qa213	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	termianl 1 is not connected to the positive battery terminal.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa220	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because there was no separation in the positive battery terminal and terminal 1.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa221	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because there was no gap in the positive battery terminal and terminal 1.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj13-l1.qa222	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because there is a gap between the positive battery terminal and terminal 1.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj14-l1.qa209	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	Because there was a gap between the positive battery terminal and terminal 1.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa231	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because there was not direct connection between the positive terminal and bulb terminal 1	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa232	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	becaquse there was a gap in the connection	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj15-l1.qa233	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	there was a gap	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj18-l1.qa182	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	Terminal 1 is not connected to the positive terminal.	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj19-l1.qa240	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because it was connected to the positive terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj19-l1.qa241	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	terminal 2 was connected to the negative terminal	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj19-l1.qa242	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	its connected	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj22-l1.qa208	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	because the terminals are in the same state	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj22-l1.qa209	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	the terminal is connected to the negative terminal of the battery	Terminal 1 and the positive battery terminal are in different electrical states
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj23-l1.qa185	Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.	Terminal 1 is connected to the positive terminal.	Terminal 1 and the positive battery terminal are in different electrical states
